,Product,Total Sell,Base Price,Total Price,Date
0,Memorys,2,10.0,20.0,2025-07-19
1,Charger,1,1.5,1.5,2025-05-11
2,Printer,4,40.0,160.0,2025-10-24
3,Charger,4,1.5,6.0,2025-10-16
4,Memorys,1,10.0,10.0,2025-02-14
5,TV,1,70.0,70.0,2025-03-16
6,Printer,4,40.0,160.0,2025-02-06
7,Phone,1,30.0,30.0,2025-11-04
8,Laptop,3,80.0,240.0,2025-07-27
9,Phone,2,30.0,60.0,2025-08-14
10,Laptop,1,80.0,80.0,2025-09-23
11,Charger,1,1.5,1.5,2025-05-29
12,Laptop,1,80.0,80.0,2025-05-17
13,Printer,2,40.0,80.0,2025-04-17
14,Computer,3,120.0,360.0,2025-12-06
15,Phone,4,30.0,120.0,2025-01-30
16,Laptop,2,80.0,160.0,2025-01-08
17,Charger,1,1.5,1.5,2025-10-19
18,Phone,1,30.0,30.0,2025-10-03
19,TV,1,70.0,70.0,2025-10-31
20,Laptop,1,80.0,80.0,2025-05-28
21,Computer,1,120.0,120.0,2025-01-06
22,Memorys,1,10.0,10.0,2025-07-07
23,Laptop,2,80.0,160.0,2025-04-30
24,Memorys,1,10.0,10.0,2025-01-18
25,Charger,4,1.5,6.0,2025-04-22
26,Charger,3,1.5,4.5,2025-11-10
27,PlayStation,2,150.0,300.0,2025-01-13
28,Charger,2,1.5,3.0,2025-09-04
29,Laptop,4,80.0,320.0,2025-02-27
30,Laptop,3,80.0,240.0,2025-07-31
31,Memorys,1,10.0,10.0,2025-12-10
32,Phone,1,30.0,30.0,2025-04-05
33,PlayStation,2,150.0,300.0,2025-05-19
34,Laptop,3,80.0,240.0,2025-04-01
35,PlayStation,2,150.0,300.0,2025-07-17
36,Phone,1,30.0,30.0,2025-03-10
37,Printer,1,40.0,40.0,2025-10-03
38,Phone,2,30.0,60.0,2025-07-13
39,Charger,2,1.5,3.0,2025-08-16
40,Memorys,1,10.0,10.0,2025-08-01
41,Charger,1,1.5,1.5,2025-12-28
42,Printer,4,40.0,160.0,2025-10-12
43,Memorys,1,10.0,10.0,2025-10-29
44,Phone,3,30.0,90.0,2025-04-04
45,Xbox,2,100.0,200.0,2025-07-24
46,Charger,2,1.5,3.0,2025-08-03
47,Printer,1,40.0,40.0,2025-12-04
48,Charger,1,1.5,1.5,2025-11-25
49,Charger,3,1.5,4.5,2025-12-30
50,Memorys,1,10.0,10.0,2025-03-26
51,Printer,2,40.0,80.0,2025-01-11
52,Memorys,3,10.0,30.0,2025-08-08
53,Laptop,3,80.0,240.0,2025-08-12
54,TV,2,70.0,140.0,2025-08-24
55,PlayStation,4,150.0,600.0,2025-03-09
56,Printer,2,40.0,80.0,2025-02-12
57,Charger,3,1.5,4.5,2025-04-04
58,Memorys,1,10.0,10.0,2025-02-06
59,Phone,2,30.0,60.0,2025-04-21
60,Charger,2,1.5,3.0,2025-12-06
61,Printer,1,40.0,40.0,2025-12-15
62,Printer,2,40.0,80.0,2025-11-01
63,Phone,2,30.0,60.0,2025-10-03
64,Charger,2,1.5,3.0,2025-07-14
65,Phone,2,30.0,60.0,2025-11-13
66,Phone,2,30.0,60.0,2025-08-17
67,Charger,1,1.5,1.5,2025-07-16
68,Charger,2,1.5,3.0,2025-08-22
69,Charger,1,1.5,1.5,2025-02-09
70,Charger,3,1.5,4.5,2025-12-23
71,Charger,3,1.5,4.5,2025-06-12
72,Xbox,3,100.0,300.0,2025-07-19
73,Charger,1,1.5,1.5,2025-02-05
74,Phone,2,30.0,60.0,2025-11-15
75,Charger,1,1.5,1.5,2025-12-03
76,Memorys,2,10.0,20.0,2025-03-06
77,Charger,4,1.5,6.0,2025-03-05
78,Phone,3,30.0,90.0,2025-12-08
79,Charger,2,1.5,3.0,2025-03-31
80,Phone,1,30.0,30.0,2025-03-08
81,Memorys,3,10.0,30.0,2025-12-11
82,Printer,2,40.0,80.0,2025-05-06
83,Laptop,3,80.0,240.0,2025-09-26
84,Printer,3,40.0,120.0,2025-07-31
85,Printer,1,40.0,40.0,2025-07-05
86,Printer,1,40.0,40.0,2025-03-10
87,Charger,3,1.5,4.5,2025-05-24
88,Phone,4,30.0,120.0,2025-09-21
89,Printer,1,40.0,40.0,2025-07-31
90,Memorys,2,10.0,20.0,2025-03-04
91,Charger,4,1.5,6.0,2025-09-17
92,Laptop,2,80.0,160.0,2025-11-23
93,Memorys,3,10.0,30.0,2025-07-20
94,Charger,1,1.5,1.5,2025-10-02
95,Memorys,1,10.0,10.0,2025-11-28
96,Xbox,3,100.0,300.0,2025-03-23
97,Laptop,1,80.0,80.0,2025-05-13
98,Laptop,1,80.0,80.0,2025-02-09
99,Charger,1,1.5,1.5,2025-09-09
